questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
IL-022,duiStateLaws,IL,"What happens if you refuse a BAC test in Illinois?","A written warning is issued for refusing the test","12-month license suspension for refusing test","A 30-day administrative suspension is applied","Refusal is treated the same as failing the test",B
LA-012,gdlLicensing,LA,"Can Louisiana teens drive to school during restricted hours?","No exceptions exist for nighttime driving restrictions","Yes driving to school is an approved exception","Only with written parental permission for school","Only during daylight hours is driving to school ok",B
NV-009,gdlLicensing,NV,"Is driver education required in Nevada?","Yes driver education is required for all under 18","Yes for all first-time drivers under age 18","Driver ed only required for permit holders under 16","No driver education is optional in Nevada",B
SC-017,cellPhone,SC,"Does South Carolina add points for texting violations?","Points are added for all texting violations","No points are added for texting violations","3 points are added for texting violations","5 points are added for texting violations",B
SD-018,cellPhone,SD,"Does South Dakota add points for texting violations?","Points are added for all texting violations","No points are added for texting violations","2 points are added for texting violations","3 points are added for texting violations",B
WY-017,cellPhone,WY,"Does Wyoming add points for texting violations?","Points are added for all texting violations","No points are added for texting violations","3 points are added for texting violations","5 points are added for texting violations",B
U-013,roadSigns,ALL,"What does a blue sign typically indicate?","Blue signs indicate motorist services nearby","Blue signs indicate a warning to drivers","Blue signs indicate a regulation or requirement","Blue signs indicate a school zone ahead",A
U-035,roadSigns,ALL,"What does a handicap parking sign require?","A valid disability parking permit is required","Only wide vehicles may use handicap spaces","Only compact cars may use handicap spaces","Handicap spaces are for employee parking",A
U-064,rulesOfRoad,ALL,"What should you do at a yield sign?","You must stop completely at a yield sign","Slow down and yield right-of-way to traffic","Honk your horn and then proceed through","Merge into traffic without slowing down",B
U-118,safeDriving,ALL,"What should you do if road debris is in your lane?","Swerve quickly to avoid the road debris","Speed up to go over the debris quickly","Brake steadily if it is safe to stop","Close your eyes and drive through debris",C
AZ-018,cellPhone,AZ,"What criminal penalties can apply if distracted driving causes serious injury in Arizona?","No criminal penalties apply only civil fines","Up to 6 months jail and 2500 dollar fine","Automatic license revocation is applied","Felony charges are the only penalty applied",B
AZ-023,duiStateLaws,AZ,"What is a Super Extreme DUI in Arizona?","A Super Extreme DUI is a third DUI offense","A Super Extreme DUI is a DUI causing injury","A DUI with a BAC of 0.20 percent or higher","A DUI with a child passenger in the vehicle",C
AR-011,gdlLicensing,AR,"Can a 16-year-old in Arkansas get an unrestricted license early?","No an unrestricted license is never before 18","Yes if married graduated from school or military","Yes after completing approved driver education","Yes with parental permission only before 18",B
CO-028,insurance,CO,"Must you carry proof of insurance in your vehicle in Colorado?","No electronic proof on your phone works instead","Yes proof of insurance is required at all times","Only paper copies are accepted as valid proof","Proof is only required after an accident occurs",B
CT-008,gdlLicensing,CT,"What passenger restrictions apply from 6 to 12 months with a license in Connecticut?","No passengers under 21 are permitted in vehicle","Only immediate family members may be passengers","Two passengers under 18 are permitted in vehicle","Unlimited passengers are permitted after 6 months",B
CT-028,insurance,CT,"Must you carry proof of insurance in your vehicle in Connecticut?","No electronic proof on your phone works instead","Yes proof of insurance is required at all times","Only paper copies are accepted as valid proof","Proof is only required after an accident occurs",B
ID-026,duiStateLaws,ID,"Can you be charged with DUI in Idaho while under the legal limit?","No you can only be charged if over the BAC limit","Yes if impairment is demonstrated by officer","Only commercial drivers can be charged under limit","Only if drugs are involved can you be charged",B
ID-037,stateUnique,ID,"Can you make a U-turn at a controlled intersection in Idaho?","U-turns are never legal at controlled intersections","Yes U-turns are legal unless prohibited by sign","U-turns are only legal with a green arrow signal","U-turns are only legal in left turn lanes",B
IA-010,gdlLicensing,IA,"Can Iowa parents waive the passenger restriction?","No the passenger restriction is mandatory in Iowa","Yes parents can waive it by signing a form","Parents can only waive after 3 months of driving","Parents can only waive for work purposes",B
MA-031,stateUnique,MA,"When must headlights be used in Massachusetts?","Headlights must be used from sunset to sunrise only","Headlights must only be used during rain or weather","30 minutes before sunset plus low visibility","Headlights must only be used on highways",C
MI-034,stateUnique,MI,"What makes Michigan's no-fault insurance unique?","Michigan no-fault only covers property damage","Unlimited PIP benefits are available in Michigan","No-fault insurance is optional for all drivers","No-fault insurance only covers driver injuries",B
MN-013,cellPhone,MN,"What is unique about Minnesota's hands-free law?","The law only applies to teen drivers in state","The law allows texting at red light stops","Holding phone is illegal while driving vehicle","The law only applies on state highways",C
NE-012,gdlLicensing,NE,"Can Nebraska parents waive the passenger restriction for their teen?","No the passenger restriction cannot be waived","Yes parents can waive it by signing a form","Parents can only waive for work purposes","Parents can only waive after 3 months driving",B
NY-017,cellPhone,NY,"How many points does New York add for cell phone violations?","No points are added for cell phone violations","5 points are added per cell phone violation","3 points are added for cell phone violations","Points are only added if violation causes crash",B
OK-013,cellPhone,OK,"What is Oklahoma cell phone law for permit and intermediate drivers?","Hands-free devices are required for permit holders","No texting while driving for permit holders","Same rules as adult drivers apply to them","A complete phone ban applies to permit holders",B
SC-010,gdlLicensing,SC,"What happens if a South Carolina conditional driver violates restrictions?","A written warning is issued for first violation","License suspension for violating restrictions","Points are added to record but no suspension","A fine is the only penalty for violation",B
SD-013,cellPhone,SD,"What is South Dakota cell phone law for permit holders?","Hands-free devices are required for permit holders","No texting while driving for permit holders","Same rules as adult drivers apply to them","A complete phone ban applies to permit holders",B
TX-011,gdlLicensing,TX,"What happens if a Texas provisional driver violates restrictions?","A written warning is issued for first violation","License suspension for violating restrictions","Points are added to record but no suspension","A fine is the only penalty for violation",B
VT-010,gdlLicensing,VT,"What happens if a Vermont junior driver violates restrictions?","A written warning is issued for first violation","License suspension for violating restrictions","Points are added to record but no suspension","A fine is the only penalty for violation",B
WA-010,gdlLicensing,WA,"What happens if a Washington intermediate driver violates restrictions?","A written warning is issued for first violation","License suspension for violating restrictions","Points are added to record but no suspension","A fine is the only penalty for violation",B
WY-012,gdlLicensing,WY,"Can Wyoming parents restrict their teen's driving further?","No only state rules apply to teen driving","Yes by working with WYDOT on restrictions","Parents can only restrict for first 30 days","Parents can only add curfew restrictions",B
WY-013,cellPhone,WY,"What is Wyoming cell phone law for drivers under 18?","Hands-free devices are required for under 18","No texting while driving for drivers under 18","Same rules as adult drivers apply to under 18","A complete phone ban applies to under 18",B
U-026,roadSigns,ALL,"What indicates a no U-turn zone?","A red circle with the letter U inside it","Arrow making U shape with line crossed through","A yellow diamond with the letter U on it","A white rectangle with words NO U-TURN",B
U-028,roadSigns,ALL,"What does a bike route sign indicate?","Bikes only are permitted on this roadway","Bicycles are prohibited on this roadway","A bike rental location is ahead on route","This is a shared road with bicycle traffic",D
U-040,roadSigns,ALL,"What does a sign showing a winding road indicate?","A winding road sign indicates road narrows","Multiple curves are ahead on the roadway","A winding road sign indicates slippery surface","A winding road sign indicates a speed zone",B
U-085,rulesOfRoad,ALL,"What should you do when being tailgated?","Brake suddenly to warn the tailgater behind","Speed up to create distance from tailgater","Move over to another lane when safe to do so","Ignore the tailgater and maintain your speed",C
U-101,safeDriving,ALL,"What should you do if you feel drowsy while driving?","Open your window to get fresh air in car","Pull over to a safe location and rest","Turn up the radio to stay more alert","Drink coffee or energy drink while driving",B
U-126,specialSituations,ALL,"How should you brake with ABS?","Pump the brakes repeatedly when stopping","Apply steady firm pressure to brake pedal","Brake gently only when using ABS system","Tap the brakes repeatedly when stopping",B
U-146,alcoholDUI,ALL,"What does BAC stand for?","BAC stands for Blood Alcohol Concentration","BAC stands for Breath Alcohol Content","BAC stands for Body Alcohol Count","BAC stands for Basic Alcohol Check",A
U-160,alcoholDUI,ALL,"What should you do during a tornado while driving?","Drive away from the tornado as fast as you can","Park under an overpass for protection from wind","Speed up to try to outrun the tornado path","Exit your car and lie in a low area nearby",D
AZ-032,stateUnique,AZ,"What is unique about Arizona driver licenses for those under 21?","Arizona under 21 licenses are paper format only","Arizona under 21 licenses have vertical format","Arizona under 21 licenses expire every month","Arizona under 21 licenses require annual renewal",B
AZ-039,stateUnique,AZ,"What does actual physical control mean in Arizona DUI law?","In position to operate vehicle even if not driving","Driving the vehicle over the posted speed limit","Using cruise control while operating the vehicle","Having physical possession of your driver license",A
AR-035,stateUnique,AR,"What academic requirement must teens under 18 meet for a license in Arkansas?","No academic requirement applies to teens under 18","Proof of school enrollment and minimum 2.0 GPA","Completion of approved driver education course","Parental homeschool certification is required",B
CA-016,cellPhone,CA,"How can you interact with a mounted phone while driving in California?","You can interact with phone any way you like","Single swipe or tap only is permitted by law","Voice commands only are permitted while driving","A maximum of two taps are permitted by law",B
CT-006,gdlLicensing,CT,"What training must a parent complete for their teen to get a license in Connecticut?","Nothing is required of parents in Connecticut","A 2-hour parent training course is required","A 4-hour safety course is required for parents","An 8-hour defensive driving course is required",B
DE-011,gdlLicensing,DE,"When does a Delaware Level 1 Permit automatically convert to a Class D license?","After 12 months valid with no license suspensions","After 6 months of supervised driving experience","Automatically at age 18 years old in Delaware","After passing the road test examination only",A
FL-034,stateUnique,FL,"What happens to a permit holder with a traffic conviction in Florida?","Cannot get license for one year from conviction date","A warning only is issued for the first offense","A fine only is issued with no license delay","Points are added to their driving record only",A
GA-013,cellPhone,GA,"What is the Hands-Free Georgia Act?","A complete ban on all phone use while driving","A teen-only phone restriction law in Georgia","Requires hands-free devices while driving vehicle","A commercial driver regulation only in Georgia",C
GA-038,stateUnique,GA,"What is the Super Speeder law in Georgia?","Extra fine for 75 plus on 2-lane or 85 plus anywhere","A penalty for speeding in school zones only","A penalty for speeding with passengers in vehicle","A penalty for racing on public highways only",A
HI-015,cellPhone,HI,"When did Hawaii's statewide handheld phone ban take effect?","Hawaii banned handheld phones statewide in 2010","Hawaii banned handheld phones in July 2013","Hawaii banned handheld phones statewide in 2015","Hawaii banned handheld phones statewide in 2018",B
HI-029,insurance,HI,"Must Hawaii drivers carry proof of insurance?","Proof is only required for new vehicle registrations","Yes proof must be carried at all times in vehicle","Proof is only required when requested by officer","No proof of insurance is required in Hawaii",B
HI-032,stateUnique,HI,"What does Hawaii's Move Over law require?","Move over or slow for emergency with flashers on","Move over only for police cars on the roadway","There is no move over law in Hawaii state","Move over for all stopped vehicles on roadway",A
ID-010,gdlLicensing,ID,"What happens to an Idaho teen's license after multiple violations?","Points accumulate on record until driver is age 18","A warning only is issued for the first offense","Paying the fine clears the driving record entirely","Suspension and extended restrictions may apply",D
ID-013,cellPhone,ID,"When did Idaho's hands-free law take effect?","Idaho hands-free law took effect in 2015","Idaho hands-free law took effect in July 2020","Idaho hands-free law took effect in 2018","Idaho hands-free law took effect in 2022",B
IN-023,duiStateLaws,IN,"What happens if you refuse a BAC test in Indiana?","A written warning is issued for refusing the test","1-year license suspension for refusing the test","A 90-day administrative suspension is applied","Refusal is treated the same as failing the test",B
IN-031,stateUnique,IN,"When must headlights be used in Indiana?","Headlights must be used from sunset to sunrise only","Headlights must only be used during rain or weather","Headlights must only be used on highways","30 minutes after sunset plus in low visibility",D
IN-038,stateUnique,IN,"What is the minimum following distance recommended in Indiana?","A minimum following distance of 1 second","A minimum following distance of 2 seconds","A minimum following distance of 3 to 4 seconds","A minimum following distance of 5 seconds",C
IA-018,cellPhone,IA,"What makes Iowa's distracted driving law unique?","Iowa law only applies to teenage drivers","Iowa law specifically bans entertainment devices","Iowa law only applies to texting while driving","Iowa law only applies on state highways",B
KS-025,duiStateLaws,KS,"What device is required for DUI offenders in Kansas?","A GPS tracker device is required after DUI","An ignition interlock device is required","A breathalyzer in home is required after DUI","No device is required for DUI offenders",B
KS-026,duiStateLaws,KS,"Can Kansas charge DUI for marijuana impairment?","No only alcohol can result in DUI charges","Yes any impairing substance can result in DUI","Only marijuana combined with alcohol counts","Only medical marijuana can result in charges",B
KY-030,insurance,KY,"What happens if you drive without insurance in Kentucky?","A warning only is issued for the first offense","A small fine only is applied for first offense","Fines plus suspension plus SR-22 filing required","Points are added to license but no fine applied",C
ME-034,stateUnique,ME,"What should Maine drivers know about moose?","Moose are only found in northern forest areas","Moose are rare throughout the state of Maine","Moose crossings are always marked with signs","Moose are common especially at dawn and dusk",D
MI-016,cellPhone,MI,"When did Michigan strengthen its distracted driving law?","Michigan strengthened the law in 2010","Michigan strengthened the law in June 2023","Michigan strengthened the law in 2019","Michigan strengthened the law in 2015",B
MT-013,cellPhone,MT,"What is Montana cell phone law for teen drivers?","No texting while driving for teen drivers","Same rules as adult drivers apply to teens","Hands-free devices are required for teens","A complete phone ban applies to teen drivers",A
NH-031,stateUnique,NH,"When must headlights be used in New Hampshire?","30 minutes after sunset plus low visibility","Headlights must be used from sunset to sunrise only","Headlights must only be used during rain or weather","Headlights must only be used on rural roads",A
NY-031,stateUnique,NY,"When must headlights be used in New York?","30 minutes after sunset plus low visibility","Headlights must be used from sunset to sunrise only","Headlights must only be used during rain or weather","Headlights must only be used on highways",A
OH-015,cellPhone,OH,"How is Ohio texting ban enforced for adults?","Texting ban is a secondary offense for adults","Texting ban is a primary offense for all drivers","Texting ban results in warning only for adults","Texting ban enforcement varies by county",A
PA-012,gdlLicensing,PA,"Can Pennsylvania parents add restrictions to their teen's license?","No only state rules apply to teen driving","Yes by notifying PennDOT of the restrictions","Parents can only add restrictions first 30 days","Parents can only add curfew restrictions",B
RI-011,gdlLicensing,RI,"What must Rhode Island teens complete before getting a permit?","Nothing additional is required before permit","A driver education course must be completed","Only the written test must be completed","Only the vision test must be completed",B
U-007,roadSigns,ALL,"What does a red circle with a line through it mean?","A red circle with line means stop here","A red circle with line means yield to traffic","A red circle with line means action prohibited","A red circle with line means one way only",C
U-012,roadSigns,ALL,"What does a pennant-shaped sign indicate?","A pennant shaped sign indicates school zone","A pennant shaped sign indicates yield ahead","A pennant shaped sign indicates merge lane","A pennant shaped sign indicates no passing",D
U-014,roadSigns,ALL,"What does a brown sign indicate?","A brown sign indicates a speed limit ahead","A brown sign indicates recreation areas nearby","A brown sign indicates services are available","A brown sign indicates construction ahead",B
U-018,roadSigns,ALL,"What does a deer silhouette on a yellow sign mean?","Deer silhouette indicates deer hunting area","Deer silhouette indicates animal crossing ahead","Deer silhouette indicates wildlife refuge area","Deer silhouette indicates a zoo is nearby",B
U-036,roadSigns,ALL,"What does HOV lane signage indicate?","Heavy vehicles only","High occupancy vehicles","Hospital vehicles only","Hazardous materials vehicles",B
U-037,roadSigns,ALL,"What does a keep right sign mean?","Keep right sign means pass on right only","Keep right sign means right turn only ahead","Keep right sign means stay right of divider","Keep right sign means right lane must exit",C
U-043,roadSigns,ALL,"What does signal ahead sign warn?","Signal ahead sign warns of traffic light","Signal ahead sign warns of speed camera","Signal ahead sign warns of flashing beacon","Signal ahead sign warns of railroad signal",A
U-075,rulesOfRoad,ALL,"What should you do if you miss your exit on a highway?","Back up carefully to reach your exit","Continue driving to the next available exit","Stop and reverse to reach your exit","Make a U-turn to reach your exit",B
U-102,safeDriving,ALL,"What is a blind spot?","A blind spot is area not visible in mirrors","A blind spot is a covered windshield area","A blind spot is a tinted window section","A blind spot is a dark area on the road",A
U-108,safeDriving,ALL,"What should you do if another vehicle passes you?","Speed up to match their speed on road","Maintain your current speed on roadway","Slow down slightly to let them pass safely","Flash your lights at the passing vehicle",C
U-119,safeDriving,ALL,"What is scanning the road?","Scanning the road means looking straight ahead","Scanning means checking mirrors on regular basis","Scanning means asking passengers to watch road","Moving eyes to check all areas around vehicle",D
U-120,safeDriving,ALL,"How far ahead should you look when driving?","You should look approximately 50 feet ahead","You should look approximately 100 feet ahead","You should look 10 to 15 seconds ahead","You should look approximately 2 seconds ahead",C
U-129,specialSituations,ALL,"What should you do if an animal is in the road?","Brake if it is safe to stop for the animal","Swerve quickly to avoid hitting the animal","Speed up to pass the animal more quickly","Honk your horn continuously at the animal",A
U-158,alcoholDUI,ALL,"What is a DUI checkpoint?","A DUI checkpoint is a speed trap location","A DUI checkpoint is an insurance check","A DUI checkpoint is an emissions test site","A DUI checkpoint is a sobriety checkpoint",D
AL-005,gdlLicensing,AL,"What are the nighttime driving restrictions for Stage II license holders in Alabama?","No driving from 10pm to 5am for Stage II","No driving from 11pm to 6am for Stage II","No driving from midnight to 6am for Stage II","No nighttime restrictions apply to Stage II",C
AL-028,insurance,AL,"Must you carry proof of insurance in your vehicle in Alabama?","No carrying proof of insurance is optional","Yes you must show proof if requested by officer","Proof only required for commercial vehicles","Proof only required if you have had accident",B
AL-039,stateUnique,AL,"What is the penalty for leaving the scene of an accident in Alabama?","A fine with no impact on your driving record","A warning is issued for the first offense only","Misdemeanor or felony plus license suspension","Points are added to your driving record only",C
AL-040,stateUnique,AL,"When are you required to report an accident to law enforcement in Alabama?","Only if any person involved in accident was injured","If there are injuries or death or major damage","Only if total damage exceeds 500 dollars in value","All accidents must be reported to police in state",B
AK-009,gdlLicensing,AK,"What is the penalty for violating provisional license restrictions in Alaska?","A written warning only for first violation","A 100 dollar fine for violating restrictions","200 dollar fine and 2 points on driving record","License revocation for violating restrictions",C
AK-013,cellPhone,AK,"Is texting while driving legal in Alaska?","Yes texting while driving is legal for all","Yes texting is legal only for adult drivers","No texting while driving is illegal for all","Texting is only illegal in school zones",C
CA-015,cellPhone,CA,"How must a phone be mounted to be used legally while driving in California?","Anywhere inside your vehicle is acceptable","In the cupholder is the only legal option","No mounting is required under state law","Windshield or dash or console without blocking view",D
CA-022,duiStateLaws,CA,"What happens if you are on DUI probation and drive with any alcohol in California?","Additional DUI charges and probation violation apply","No additional penalty applies in this situation","A warning only is issued for first occurrence","A fine is issued but no jail time is possible",A
CO-008,gdlLicensing,CO,"What is the nighttime curfew for teen drivers in Colorado?","Curfew is from 10pm to 5am for teen drivers","Curfew is from 11pm to 5am for teen drivers","Curfew is from midnight to 5am for teen drivers","Curfew is from 1am to 5am for teen drivers",C
CT-018,cellPhone,CT,"What activity does Connecticut law prohibit while driving?","Only phone use is prohibited by Connecticut law","Only eating while driving is banned by law","Any activity that interferes with driving safety","Only texting while driving is banned by law",C
FL-004,gdlLicensing,FL,"What are the daytime restrictions for the first 3 months with a learner's permit in Florida?","No daytime restrictions apply during first 3 months","Driving is allowed during daylight hours only","Driving is permitted until 10pm during period","Driving is permitted until midnight during period",B
GA-007,gdlLicensing,GA,"What are the nighttime driving restrictions for Georgia provisional license holders?","Curfew is from 10pm to 5am for provisional","Curfew is from midnight to 6am for provisional","Curfew is from 11pm to 5am for provisional","Curfew is from 9pm to 6am for provisional",B
GA-031,stateUnique,GA,"What does Georgia's Move Over law require?","Move over for school buses only in Georgia","Slow down or move over for emergency and utility","Move over only for police vehicles in Georgia","Move over at all intersections in Georgia",B
IL-035,stateUnique,IL,"What is Illinois law regarding school bus stops?","Stop only when on the same side as the bus","Slow down to 25 mph when passing stopped bus","Stop only when the red lights are flashing","Stop in both directions unless barrier exists",D
IL-039,stateUnique,IL,"What should Illinois drivers know about winter driving?","Chains are always required during winter months","No chains but snow tires are recommended","Studded tires are required by Illinois law","Salt trucks have the right of way on roads",B
IN-036,stateUnique,IN,"Are right turns on red permitted in Indiana?","Right turns on red are never permitted in state","Yes right turns permitted unless sign prohibits","Right turns only permitted outside Indianapolis","Right turns only permitted with a green arrow",B
IA-025,duiStateLaws,IA,"What does Iowa's implied consent law mean?","Automatic consent to BAC testing when driving","You can refuse all tests freely without penalty","Consent to vehicle searches only in Iowa","Consent to field sobriety tests only in Iowa",A
KY-005,gdlLicensing,KY,"What are the nighttime restrictions for Kentucky intermediate license holders?","Curfew is from 10pm to 5am for intermediate","Curfew is from midnight to 6am for intermediate","Curfew is from 11pm to 5am for intermediate","Curfew is from 9pm to 6am for intermediate",B
